Paper;Authors;Year;Citation;Included;System;Type;Level;Driver/Response;Aim;Part of meta-analysis
144;"Varunan, T; Shanmugam, P";2015;REMOTE SENSING OF ENVIRONMENT 158: 235-254;0;;;;;;
145;"Sin, Y; Jeong, B; Park, C";2015;ESTUARIES AND COASTS 38: 546-557;0;;;;;;
146;"Jyothibabu, R; Vinayachandran, PN; Madhu, NV; Robin, RS; Karnan, C; Jagadeesan, L; Anjusha, A";2015;JOURNAL OF MARINE SYSTEMS 143: 98-119;0;;;;;;
147;"Guenther, M; Araujo, M; Flores-Montes, M; Gonzalez-Rodriguez, E; Neumann-Leitao, S";2015;MARINE POLLUTION BULLETIN 91: 537-547;0;;;;;;
148;"Zohary, T; Shlichter, M; Naselli-Flores, L";2015;EUROPEAN JOURNAL OF PHYCOLOGY 50: 100-100;0;;;;;;
149;"Al-Hashmi, K; Claereboudt, M; Piontkovski, S; Al Azri, A; Amin, SMN";2015;IRANIAN JOURNAL OF FISHERIES SCIENCES 14: 136-149;0;;;;;;
150;Maranon, E;2015;ANNUAL REVIEW OF MARINE SCIENCE, VOL 7 7: 241-264;1;M;R;MS;D;1;no
151;"Brito, AC; Sa, C; Brotas, V; Brewin, RJW; Silva, T; Vitorino, J; Platt, T; Sathyendranath, S";2015;REMOTE SENSING OF ENVIRONMENT 156: 537-550;0;;;;;;
152;"Martinez-Almeida, VM; Gaxiola-Castro, G; Durazo, R; Lara-Lara, JR";2014;HIDROBIOLOGICA 24: 191-206;0;;;;;;
153;"Motokawa, S; Hattori, H; Sasaki, H; Taguchi, S";2014;POLAR BIOLOGY 37: 1373-1381;0;;;;;;
154;"Mitra, A; Zaman, S; Raha, AK";2014;INDIAN JOURNAL OF GEO-MARINE SCIENCES 43: 1914-1921;1;M;O;C;R;2;no
155;"Smith, SL; Merico, A; Hohn, S; Brandt, G";2014;MARINE ECOLOGY PROGRESS SERIES 511: 33-39;1;M;M;C;D;1;no
156;"Dugenne, M; Thyssen, M; Nerini, D; Mante, C; Poggiale, JC; Garcia, N; Garcia, F; Gregori, GJ";2014;FRONTIERS IN MICROBIOLOGY 5: 485;0;;;;;;
157;"Kim, H; Van Duong, H; Kim, E; Lee, BG; Han, S";2014;ENVIRONMENTAL TOXICOLOGY 29: 936-941;1;M;E;MS;D;1;no
158;"Lopez-Sandoval, DC; Rodriguez-Ramos, T; Cermeno, P; Sobrino, C; Maranon, E";2014;JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY 457: 151-159;1;M;E;MS;D;1;MS006
159;"Kocum, E; Sutcu, A";2014;JOURNAL OF COASTAL RESEARCH 30: 777-784;0;;;;;;
160;"Lin, JF; Cao, WX; Wang, GF; Hu, SB";2014;MARINE POLLUTION BULLETIN 83: 190-197;0;;;;;;
161;"Bisova, K; Zachleder, V";2014;JOURNAL OF EXPERIMENTAL BOTANY 65: 2585-2602;0;;;;;;
162;"Brewin, RJW; Sathyendranath, S; Tilstone, G; Lange, PK; Platt, T";2014;JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS 119: 3478-3496;0;;;;;;
163;"Evers-King, H; Bernard, S; Lain, LR; Probyn, TA";2014;OPTICS EXPRESS 22: 11536-11551;0;;;;;;
164;"Lin, JF; Cao, WX; Zhou, W; Sun, ZH; Xu, ZT; Wang, GF; Hu, SB";2014;OPTICS EXPRESS 22: 10467-10476;0;;;;;;
165;"Brewin, RJW; Sathyendranath, S; Lange, PK; Tilstone, G";2014;DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS 85: 72-79;0;;;;;;
166;"Landeira, JM; Ferron, B; Lunven, M; Morin, P; Marie, L; Sourisseau, M";2014;PLOS ONE 9: e90507;0;;;;;;
167;"Mitra, A; Zaman, S; Sett, S; Raha, AK; Banerjee, K";2014;INDIAN JOURNAL OF GEO-MARINE SCIENCES 43: 208-215;0;;;;;;
168;"Mercado, JM; Sala, I; Salles, S; Cortes, D; Ramirez, T; Liger, E; Yebra, L; Bautista, B";2014;MARINE ECOLOGY PROGRESS SERIES 499: 47-64;0;;;;;;
169;"Mousing, EA; Ellegaard, M; Richardson, K";2014;MARINE ECOLOGY PROGRESS SERIES 497: 25-38;0;;;;;;
170;"Ruiz-Halpern, S; Echeveste, P; Agusti, S; Duarte, CM";2014;FRONTIERS IN MARINE SCIENCE 1: 25;1;M;E;MS;D;1;MS007
171;"Huete-Ortega, M; Rodiguez-Ramos, T; Lopez-Sandoval, DC; Cermeno, P; Blanco, JM; Palomino, RL; Rodriguez, J; Maranon, E";2014;MARINE ECOLOGY PROGRESS SERIES 515: 61-71;1;M;O;C;D;1;MS010
172;"Lie, AAY; Wong, LC; Wong, CK";2013;JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM 93: 2155-2166;0;;;;;;
173;"Lin, SQ; Huang, LF; Zhu, ZS; Jia, XY";2013;DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY 97: 93-100;0;;;;;;
174;"Acevedo-Trejos, E; Brandt, G; Merico, A; Smith, SL";2013;GLOBAL ECOLOGY AND BIOGEOGRAPHY 22: 1315-1315;0;;;;;;
175;"Roy, S; Sathyendranath, S; Bouman, H; Platt, T";2013;REMOTE SENSING OF ENVIRONMENT 139: 185-197;0;;;;;;
176;"Vadrucci, MR; Stanca, E; Mazziotti, C; Umani, SF; Georgia, A; Moncheva, S; Romano, A; Bucci, R; Ungaro, N; Basset, A";2013;ECOLOGICAL INDICATORS 34: 113-125;1;M;O;C;R;2;no
177;"Peter, KH; Sommer, U";2013;PLOS ONE 8: e71528;1;M;E;C;R;2;no
178;"Lin, JF; Cao, WX; Zhou, W; Hu, SB; Wang, GF; Sun, ZH; Xu, ZT; Song, QJ";2013;CHINESE JOURNAL OF OCEANOLOGY AND LIMNOLOGY 31: 970-978;0;;;;;;
179;Wirtz, KW;2013;MARINE BIOLOGY 160: 2319-2335;1;M;M;C;D;1;no
180;"Acevedo-Trejos, E; Brandt, G; Merico, A; Smith, SL";2013;GLOBAL ECOLOGY AND BIOGEOGRAPHY 22: 1060-1070;0;;;;;;
181;"Engstrom-Ost, J; Repka, S; Brutemark, A; Nieminen, A";2013;HYDROBIOLOGIA 714: 85-92;0;;;;;;
182;"Li, L; Lu, SH; Jiang, T; Li, X";2013;CHINESE SCIENCE BULLETIN 58: 2303-2314;0;;;;;;
183;"Brotas, V; Brewin, RJW; Sa, C; Brito, AC; Silva, A; Mendes, CR; Diniz, T; Kaufmann, M; Tarran, G; Groom, SB; Platt, T; Sathyendranath, S";2013;REMOTE SENSING OF ENVIRONMENT 134: 66-77;0;;;;;;
184;"Crichton, M; Hutchings, L; Lamont, T; Jarre, A";2013;JOURNAL OF PLANKTON RESEARCH 35: 526-541;0;;;;;;
185;"Organelli, E; Bricaud, A; Antoine, D; Uitz, J";2013;APPLIED OPTICS 52: 2257-2273;0;;;;;;
186;"Sin, Y; Hyun, B; Jeong, B; Soh, HY";2013;MARINE ENVIRONMENTAL RESEARCH 85: 54-63;0;;;;;;
187;"Maranon, E; Cermeno, P; Lopez-Sandoval, DC; Rodriguez-Ramos, T; Sobrino, C; Huete-Ortega, M; Blanco, JM; Rodriguez, J";2013;ECOLOGY LETTERS 16: 371-379;1;M;E;MS;D;1;MS011
188;"Ferreira, A; Stramski, D; Garcia, CAE; Garcia, VMT; Ciotti, AM; Mendes, CRB";2013;JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS 118: 698-714;0;;;;;;
189;Dao, MH;2013;MARINE ECOLOGY PROGRESS SERIES 489: 87-92;1;M;R;MS;D;1;no
190;"Lopez-Sandoval, DC; Rodriguez-Ramos, T; Cermeno, P; Maranon, E";2013;MARINE ECOLOGY PROGRESS SERIES 477: 53-60;1;M;E;MS;D;1;MS013
191;"Ben Othman, H; Leboulanger, C; Le Floc'h, E; Mabrouk, HH; Hlaili, AS";2012;JOURNAL OF HAZARDOUS MATERIALS 243: 204-211;1;M;E;MS;R;2;no
192;"Mitra, A; Zaman, S; Ray, SK; Sinha, S; Banerjee, K";2012;NATIONAL ACADEMY SCIENCE LETTERS-INDIA 35: 485-491;0;;;;;;
193;"Zhou, W; Sun, ZH; Cao, WX; Wang, GF";2012;SPECTROSCOPY AND SPECTRAL ANALYSIS 32: 3347-3352;0;;;;;;
194;"Peter, KH; Sommer, U";2012;PLOS ONE 7: e49632;1;M;E;MS;R;3;no
195;"Brewin, RJW; Hirata, T; Hardman-Mountford, NJ; Lavender, SJ; Sathyendranath, S; Barlow, R";2012;DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY 77-80: 117-127;1;M;O;C;R;2;no
196;"Polovina, JJ; Woodworth, PA";2012;DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY 77-80: 82-88;1;M;O;C;R;2;no
197;"Klauschies, T; Bauer, B; Aberle-Malzahn, N; Sommer, U; Gaedke, U";2012;MARINE BIOLOGY 159: 2455-2478;1;M;E;C;R;2;no
198;"Maranon, E; Cermeno, P; Latasa, M; Tadonleke, RD";2012;LIMNOLOGY AND OCEANOGRAPHY 57: 1266-1278;0;;;;;;
199;"Echeveste, P; Agusti, S; Tovar-Sanchez, A";2012;ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY 31: 1887-1894;1;M;E;MS;R;2;MS014
200;"Brewin, RJW; Dall'Olmo, G; Sathyendranath, S; Hardman-Mountford, NJ";2012;OPTICS EXPRESS 20: 17632-17652;0;;;;;;
201;"Zhang, YL; Yin, Y; Wang, MZ; Liu, XH";2012;OPTICS EXPRESS 20: 11882-11898;1;F;O;C;D;4;no
202;"Kerimoglu, O; Straile, D; Peeters, F";2012;JOURNAL OF THEORETICAL BIOLOGY 300: 330-343;1;none;M;C;R;2;no
203;"Huete-Ortega, M; Cermeno, P; Calvo-Diaz, A; Maranon, E";2012;PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES 279: 1815-1823;1;M;E;C;D;1;MS015
204;"Sin, Y; Hyun, B; Bach, QD; Yang, S; Park, C";2012;ESTUARIES AND COASTS 35: 839-852;0;;;;;;
205;"Li, G; Ke, ZX; Lin, Q; Ni, GY; Shen, PP; Liu, HX; Yin, JQ; Li, KZ; Huang, LM; Tan, YH";2012;ACTA OCEANOLOGICA SINICA 31: 121-128;0;;;;;;
206;"Haupt, F; Stockenreiter, M; Boersma, M; Stibor, H";2012;JOURNAL OF LIMNOLOGY 71: 125-134;0;;;;;;
207;"Bosak, S; Silovic, T; Ljubesic, Z; Kuspilic, G; Pestoric, B; Krivokapic, S; Vilicic, D";2012;OCEANOLOGIA 54: 255-286;0;;;;;;
208;"Mouw, CB; Yoder, JA; Doney, SC";2012;JOURNAL OF MARINE SYSTEMS 89: 61-75;0;;;;;;
209;Goericke, R;2011;CALIFORNIA COOPERATIVE OCEANIC FISHERIES INVESTIGATIONS REPORTS 52: 198-204;0;;;;;;
210;"Aizdaicher, NA; Markina, ZV";2011;RUSSIAN JOURNAL OF MARINE BIOLOGY 37: 472-477;0;;;;;;
211;"Garmendia, M; Revilla, M; Bald, J; Franco, J; Laza-Martinez, A; Orive, E; Seoane, S; Valencia, V; Borja, A";2011;BIOGEOCHEMISTRY 106: 243-263;0;;;;;;
212;"Aizdaicher, NA; Markina, ZV";2011;BIOLOGIYA MORYA-MARINE BIOLOGY 37: 455-460;0;;;;;;
213;"Edwards, KF; Klausmeier, CA; Litchman, E";2011;ECOLOGY 92: 2085-2095;1;FM;E;MS;D;1;MS034
214;"Huete-Ortega, M; Calvo-Diaz, A; Grana, R; Mourino-Carballido, B; Maranon, E";2011;JOURNAL OF MARINE SYSTEMS 88: 203-213;0;;;;;;
215;"Svensen, O; Stamnes, JJ; Kildemo, M; Aas, LMS; Erga, SR; Frette, O";2011;APPLIED OPTICS 50: 5149-5157;0;;;;;;
216;"Zingone, A; Sarno, D; Siano, R; Marino, D";2011;POLAR BIOLOGY 34: 1269-1284;0;;;;;;
217;"Hilligsoe, KM; Richardson, K; Bendtsen, J; Sorensen, LL; Nielsen, TG; Lyngsgaard, MM";2011;DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS 58: 826-838;0;;;;;;
218;"Jahnke, J; Mahlmann, DM; Jacobs, P; Priefer, UB";2011;JOURNAL OF APPLIED PHYCOLOGY 23: 655-664;0;;;;;;
219;"Moreno-Ostos, E; Fernandez, A; Huete-Ortega, M; Mourino-Carballido, B; Calvo-Diaz, A; Moran, XAG; Maranon, E";2011;SCIENTIA MARINA 75: 379-389;0;;;;;;
220;"Roy, S; Sathyendranath, S; Platt, T";2011;JOURNAL OF THE ROYAL SOCIETY INTERFACE 8: 650-660;0;;;;;;
221;"Echeveste, P; Agusti, S; Dachs, J";2011;ENVIRONMENTAL POLLUTION 159: 1307-1316;0;;;;;;
222;"Naselli-Flores, L; Barone, R";2011;CRYPTOGAMIE ALGOLOGIE 32: 157-204;0;;;;;;
223;"Paredes, MA; Montecino, V";2011;CONTINENTAL SHELF RESEARCH 31: 272-281;0;;;;;;
224;"Roy, S; Platt, T; Sathyendranath, S";2011;ICES JOURNAL OF MARINE SCIENCE 68: 719-728;0;;;;;;
225;"Forget, MH; Platt, T; Sathyendranath, S; Fanning, P";2011;ICES JOURNAL OF MARINE SCIENCE 68: 751-765;0;;;;;;
226;"Brewin, RJW; Hardman-Mountford, NJ; Lavender, SJ; Raitsos, DE; Hirata, T; Uitz, J; Devred, E; Bricaud, A; Ciotti, A; Gentili, B";2011;REMOTE SENSING OF ENVIRONMENT 115: 325-339;0;;;;;;
227;"Vanden Byllaardt, J; Cyr, H";2011;OIKOS 120: 162-169;0;;;;;;
228;"Mei, ZP; Finkel, ZV; Irwin, AJ";2011;MARINE ECOLOGY PROGRESS SERIES 434: 29-43;1;M;M;MS;D;1;no
229;"Jacob, B; Daneri, G; Quinones, RA; Sobarzo, M";2011;MARINE ECOLOGY PROGRESS SERIES 430: 23-34;0;;;;;;
230;"Fujiwara, A; Hirawake, T; Suzuki, K; Saitoh, SI";2011;BIOGEOSCIENCES 8: 3567-3580;0;;;;;;
231;"Barnes, C; Irigoien, X; De Oliveira, JAA; Maxwell, D; Jennings, S";2011;JOURNAL OF PLANKTON RESEARCH 33: 13-24;0;;;;;;
232;"Mouw, CB; Yoder, JA";2010;JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS 115: C12018;0;;;;;;
233;"Madhu, NV; Jyothibabu, R; Balachandran, KK";2010;ENVIRONMENTAL MONITORING AND ASSESSMENT 166: 521-528;0;;;;;;
234;"Brewin, RJW; Sathyendranath, S; Hirata, T; Lavender, SJ; Barciela, RM; Hardman-Mountford, NJ";2010;ECOLOGICAL MODELLING 221: 1472-1483;0;;;;;;
235;"Chen, BZ; Liu, HB";2010;LIMNOLOGY AND OCEANOGRAPHY 55: 965-972;1;M;O;C;R;2;no
236;"Peltomaa, E; Ojala, A";2010;JOURNAL OF PLANKTON RESEARCH 32: 341-355;0;;;;;;
237;"Kamenir, Y; Dubinsky, Z; Harris, R";2010;JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY 383: 105-110;0;;;;;;
238;"Bluhm, K; Croot, P; Wuttig, K; Lochte, K";2010;AQUATIC BIOLOGY 11: 1-15;0;;;;;;
239;"Bonsang, B; Gros, V; Peeken, I; Yassaa, N; Bluhm, K; Zoellner, E; Sarda-Esteve, R; Williams, J";2010;ENVIRONMENTAL CHEMISTRY 7: 554-563;1;M;E;MS;D;1;MS016
240;"Key, T; McCarthy, A; Campbell, DA; Six, C; Roy, S; Finkel, ZV";2010;ENVIRONMENTAL MICROBIOLOGY 12: 95-104;1;M;E;MS;D;1;MS017
241;"Echeveste, P; Agusti, S; Dachs, J";2010;ENVIRONMENTAL POLLUTION 158: 299-307;1;M;E;MS;D;1;no
242;"Brewin, RJW; Lavender, SJ; Hardman-Mountford, NJ";2010;JOURNAL OF MAPS 6: 448-462;0;;;;;;
243;"Huete-Ortega, M; Maranon, E; Varela, M; Bode, A";2010;JOURNAL OF PLANKTON RESEARCH 32: 1-14;1;M;O;C;D;4;MS018
244;"Finkel, ZV; Beardall, J; Flynn, KJ; Quigg, A; Rees, TAV; Raven, JA";2010;JOURNAL OF PLANKTON RESEARCH 32: 119-137;1;M;R;C;R;2;MS040
245;"Sunda, WG; Hardison, DR";2010;MARINE ECOLOGY PROGRESS SERIES 410: 288-288;1;M;E;MS;D;1;no
246;"Sunda, WG; Hardison, DR";2010;MARINE ECOLOGY PROGRESS SERIES 401: 63-76;0;;;;;;
247;"Guidi, L; Stemmann, L; Jackson, GA; Ibanez, F; Claustre, H; Legendre, L; Picheral, M; Gorsky, G";2009;LIMNOLOGY AND OCEANOGRAPHY 54: 1951-1963;0;;;;;;
248;"Fu, MZ; Wang, ZL; Li, Y; Li, RX; Sun, P; Wei, XH; Lin, XZ; Guo, JS";2009;CONTINENTAL SHELF RESEARCH 29: 2178-2194;0;;;;;;
249;Hewes, CD;2009;ANTARCTIC SCIENCE 21: 457-470;0;;;;;;
250;"Mei, ZP; Finkel, ZV; Irwin, AJ";2009;JOURNAL OF THEORETICAL BIOLOGY 259: 582-588;1;M;M;C;D;1;no
251;Maranon, E;2009;JOURNAL OF PLANKTON RESEARCH 31: 929-929;1;M;E;MS;D;1;MS19
252;"Kemka, N; Togouet, SHZ; Kinfack, RPD; Nola, M; Menbohan, SF; Njine, T";2009;HYDROBIOLOGIA 625: 91-103;0;;;;;;
253;"Decembrini, F; Caroppo, C; Azzaro, M";2009;DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY 56: 687-699;0;;;;;;
254;"Pommier, J; Gosselin, M; Michel, C";2009;JOURNAL OF PLANKTON RESEARCH 31: 429-446;0;;;;;;
255;"Zarauz, L; Irigoien, X; Fernandes, JA";2009;JOURNAL OF PLANKTON RESEARCH 31: 193-207;0;;;;;;
256;"Tambi, H; Flaten, GAF; Egge, JK; Bodtker, G; Jacobsen, A; Thingstad, TF";2009;AQUATIC MICROBIAL ECOLOGY 57: 311-320;0;;;;;;
257;"Kamenir, Y; Morabito, G";2009;JOURNAL OF LIMNOLOGY 68: 146-161;0;;;;;;
258;"Verdy, A; Follows, M; Flierl, G";2009;MARINE ECOLOGY PROGRESS SERIES 379: 1-12;1;M;M;C;D;1;no
259;"Aktan, Y; Gurevin, C; Dorak, Z";2009;TURKISH JOURNAL OF BIOLOGY 33: 335-340;1;F;O;MS;R;2;no
260;"Silio-Calzada, A; Bricaud, A; Uitz, J; Gentili, B";2008;JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS 113: C11023;0;;;;;;
261;"Sabetta, L; Basset, A; Spezie, G";2008;ESTUARINE COASTAL AND SHELF SCIENCE 80: 181-192;0;;;;;;
262;"Montes-Hugo, MA; Vernet, M; Martinson, D; Smith, R; Iannuzzi, R";2008;DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY 55: 2106-2117;1;M;O;C;R;2;no
263;"Sabetta, L; Vadrucci, MR; Fiocca, A; Stanca, E; Mazziotti, C; Ferrari, C; Cabrini, M; Kongjka, E; Basset, A";2008;AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS 18: S76-S87;0;;;;;;
264;"Hirata, T; Aiken, J; Hardman-Mountford, N; Smyth, TJ; Barlow, RG";2008;REMOTE SENSING OF ENVIRONMENT 112: 3153-3159;0;;;;;;
265;"Schapira, M; Vincent, D; Gentilhomme, V; Seuront, L";2008;JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM 88: 649-662;0;;;;;;
266;"Kamenir, Y; Winder, M; Dubinsky, Z; Zohary, T; Schladow, G";2008;AQUATIC SCIENCES 70: 195-203;0;;;;;;
267;Pagano, M;2008;JOURNAL OF PLANKTON RESEARCH 30: 401-414;0;;;;;;
268;Maranon, E;2008;JOURNAL OF PLANKTON RESEARCH 30: 157-163;0;;;;;;
269;"Arbones, B; Castro, CG; Alonso-Perez, F; Figueiras, FG";2008;AQUATIC MICROBIAL ECOLOGY 50: 169-179;0;;;;;;
270;"Montes-Hugo, MA; Vernet, M; Smith, R; Carder, K";2008;INTERNATIONAL JOURNAL OF REMOTE SENSING 29: 801-829;1;M;O;C;R;2;no
271;"Cermeno, P; Figueiras, FG";2008;MARINE ECOLOGY PROGRESS SERIES 357: 79-85;1;M;O;C;D;4;MS020
272;"Finkel, ZV; Sebbo, J; Feist-Burkhardt, S; Irwin, AJ; Katz, ME; Schofield, OME; Young, JR; Falkowski, PG";2007;PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA 104: 20416-20420;1;M;O;C;R;2;no
273;"Hellweger, FL; Kianirad, E";2007;JOURNAL OF THEORETICAL BIOLOGY 249: 554-565;0;;;;;;
274;"Karp-Boss, L; Azevedo, L; Boss, E";2007;LIMNOLOGY AND OCEANOGRAPHY-METHODS 5: 396-406;0;;;;;;
275;"Kriest, I; Oschlies, A";2007;DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS 54: 1593-1618;1;M;M;C;R;2;no
276;"Maranon, E; Cermeno, P; Rodriguez, J; Zubkov, MV; Harris, RP";2007;LIMNOLOGY AND OCEANOGRAPHY 52: 2190-2198;1;M;O;C;D;1;MS021
277;"Pannard, A; Bormans, M; Lefebvre, S; Claquin, P; Lagadeuc, Y";2007;JOURNAL OF PLANKTON RESEARCH 29: 583-598;0;;;;;;
278;"Ehnert, W; McRoy, CP";2007;JOURNAL OF OCEANOGRAPHY 63: 179-187;0;;;;;;
279;"Bernard, S; Shillington, FA; Probyn, TA";2007;OPTICS EXPRESS 15: 1995-2007;0;;;;;;
280;"Kaiblinger, C; Greisberger, S; Teubner, K; Dokulil, MT";2007;HYDROBIOLOGIA 578: 29-36;0;;;;;;
281;"Dokulil, MT; Donabaum, K; Teubner, K";2007;HYDROBIOLOGIA 578: 59-63;1;F;O;C;R;2;no
282;"Kamenir, Y; Dubinsky, Z; Alster, A; Zohary, T";2007;HYDROBIOLOGIA 578: 79-86;0;;;;;;
283;"Wang, GF; Cao, WX; Xu, DZ; Yang, YZ";2007;ACTA OCEANOLOGICA SINICA 26: 12-25;0;;;;;;
284;"Tischendorf, G; Oesterhelt, C; Hoffmann, S; Girnus, J; Schnarrenberger, C; Gross, W";2007;EUROPEAN JOURNAL OF PHYCOLOGY 42: 243-251;0;;;;;;
285;Froneman, PW;2006;ESTUARINE COASTAL AND SHELF SCIENCE 70: 693-700;0;;;;;;
286;[Anonymous];2006;COMPENDIUM ON CONTINUING EDUCATION FOR THE PRACTICING VETERINARIAN 28: 760-761;0;;;;;;
287;"Cermeno, P; Maranon, E; Harbour, D; Harris, RP";2006;ECOLOGY LETTERS 9: 1210-1215;1;M;O;C;D;4;MS022
